State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Texas,8,R+28,Kevin Brady,R,"67,748","200,367","4,617",24.8%,73.5%,1.7%,-48.6%,-48.3%,-0.3%,"298,315",91.4%,
Texas,9,D+29,Al Green,D,"135,941",0,"16,712",89.1%,0.0%,10.9%,89.1%,61.2%,N/A,"191,513",79.7%,
Texas,10,R+9,Michael McCaul,R,"142,728","154,807","6,576",46.9%,50.9%,2.2%,-4.0%,-9.1%,5.1%,"317,561",95.8%,
Texas,11,R+32,Mike Conaway,R,"40,028","174,749","3,106",18.4%,80.2%,1.4%,-61.8%,-58.5%,-3.3%,"249,682",87.3%,
Texas,12,R+18,Kay Granger,R,"90,676","172,205","4,926",33.9%,64.3%,1.8%,-30.4%,-30.0%,-0.4%,"285,007",94.0%,
Texas,13,R+33,Mac Thornberry,R,"34,859","168,090","3,144",16.9%,81.6%,1.5%,-64.6%,-62.8%,-1.8%,"239,860",85.9%,
Texas,14,R+12,Randy Weber,R,"90,937","137,582","3,354",39.2%,59.3%,1.4%,-20.1%,-19.7%,-0.4%,"264,338",87.7%,
Texas,15,D+7,Vicente Gonzalez,D,"98,089","63,593","2,602",59.7%,38.7%,1.6%,21.0%,16.6%,4.4%,"185,819",88.4%,
Texas,16,D+17,Veronica Escobar,D,"122,676","48,495","8,448",68.3%,27.0%,4.7%,41.3%,40.3%,1.0%,"194,603",92.3%,
Texas,17,R+12,Bill Flores,R,"97,574","134,375","4,415",41.3%,56.9%,1.9%,-15.6%,-17.3%,1.7%,"250,189",94.5%,
Texas,18,D+27,Sheila Jackson Lee,D,"138,423","38,306","7,249",75.2%,20.8%,3.9%,54.4%,56.3%,-1.9%,"206,135",89.3%,
Texas,19,R+27,Jodey Arrington,R,"49,941","152,012",0,24.7%,75.3%,0.0%,-50.5%,-48.7%,-1.8%,"229,585",88.0%,
Texas,20,D+10,Joaquin Castro,D,"138,249",0,"32,727",80.9%,0.0%,19.1%,80.9%,26.4%,N/A,"219,982",77.7%,
Texas,21,R+10,Chip Roy,R,"167,020","176,913","7,497",47.5%,50.3%,2.1%,-2.8%,-9.9%,7.1%,"362,694",96.9%,
Texas,22,R+10,Pete Olson,R,"137,592","152,368","6,489",46.4%,51.4%,2.2%,-5.0%,-7.8%,2.8%,"308,653",96.0%,
Texas,23,R+1,Will Hurd,R,"101,753","102,903","4,402",48.7%,49.2%,2.1%,-0.6%,3.5%,-4.1%,"233,136",89.7%,
Texas,24,R+9,Kenny Marchant,R,"124,580","132,992","4,861",47.5%,50.7%,1.9%,-3.2%,-6.2%,3.0%,"277,497",94.6%,
Texas,25,R+11,Roger Williams,R,"135,288","162,288","5,124",44.7%,53.6%,1.7%,-8.9%,-14.7%,5.8%,"315,361",96.0%,
Texas,26,R+18,Michael Burgess,R,"121,584","185,268","5,008",39.0%,59.4%,1.6%,-20.4%,-26.2%,5.8%,"322,035",96.8%,
Texas,27,R+13,Michael Cloud,R,"75,761","124,958","6,360",36.6%,60.3%,3.1%,-23.8%,-23.4%,-0.4%,"235,405",88.0%,
Texas,28,D+9,Henry Cuellar,D,"117,178",0,"21,647",84.4%,0.0%,15.6%,84.4%,19.7%,N/A,"190,247",73.0%,
Texas,29,D+19,Sylvia Garcia,D,"87,997","28,045","1,204",75.1%,23.9%,1.0%,51.1%,45.6%,5.5%,"133,934",87.5%,
Texas,30,D+29,Eddie Bernice Johnson,D,"166,102",0,"16,318",91.1%,0.0%,8.9%,91.1%,60.8%,N/A,"220,711",82.7%,
Texas,31,R+10,John Carter,R,"135,843","144,393","4,955",47.6%,50.6%,1.7%,-3.0%,-12.5%,9.5%,"292,427",97.5%,
Texas,32,R+5,Colin Allred,D,"142,885","125,600","5,424",52.2%,45.9%,2.0%,6.3%,1.9%,4.4%,"278,463",98.4%,
Texas,33,D+23,Marc Veasey,D,"90,311","26,007","2,291",76.1%,21.9%,1.9%,54.2%,49.1%,5.1%,"129,867",91.3%,
Texas,34,D+10,Filemon Vela,D,"85,647","57,157",0,60.0%,40.0%,0.0%,20.0%,21.5%,-1.5%,"172,183",82.9%,
Texas,35,D+15,Lloyd Doggett,D,"137,325","50,276","5,215",71.2%,26.1%,2.7%,45.1%,33.3%,11.8%,"202,033",95.4%,
Texas,36,R+26,Brian Babin,R,"60,751","160,783",0,27.4%,72.6%,0.0%,-45.2%,-46.5%,1.3%,"255,510",86.7%,
Utah,1,R+26,Rob Bishop,R,"60,407","151,798","32,860",24.6%,61.9%,13.4%,-37.3%,-27.4%,-9.9%,"280,453",87.4%,
Utah,2,R+16,Chris Stewart,R,"99,261","145,938","12,494",38.5%,56.6%,4.8%,-18.1%,-14.0%,-4.1%,"283,693",90.8%,
Utah,3,R+25,John Curtis,R,"63,277","156,434","11,448",27.4%,67.7%,5.0%,-40.3%,-23.9%,-16.4%,"289,925",79.7%,
Utah,4,R+13,,,"127,013","126,011",0,50.2%,49.8%,0.0%,0.4%,-6.7%,7.1%,"277,318",91.2%,
Vermont,AL,D+15,Peter Welch,D,"188,547","70,705","13,199",69.2%,26.0%,4.8%,43.3%,26.4%,16.9%,"315,077",86.5%,x
Virginia,1,R+8,Rob Wittman,R,"148,464","183,250",387,44.7%,55.2%,0.1%,-10.5%,-12.4%,1.9%,"395,784",83.9%,
Virginia,2,R+3,Elaine Luria,D,"139,571","133,458",371,51.1%,48.8%,0.1%,2.2%,-3.4%,5.6%,"326,766",83.7%,
Virginia,3,D+16,Bobby Scott,D,"198,615",0,"19,107",91.2%,0.0%,8.8%,91.2%,31.5%,N/A,"325,478",66.9%,
Virginia,4,D+10,Don McEachin,D,"187,643","107,706","4,506",62.6%,35.9%,1.5%,26.7%,21.4%,5.3%,"364,550",82.3%,
Virginia,5,R+6,Denver Riggleman,R,"145,040","165,339",547,46.6%,53.2%,0.2%,-6.5%,-11.0%,4.5%,"367,564",84.6%,
Virginia,6,R+13,Ben Cline,R,"112,732","167,473",287,40.2%,59.7%,0.1%,-19.5%,-24.6%,5.1%,"347,830",80.6%,
Virginia,7,R+6,Abigail Spanberger,D,"176,079","169,295","4,429",50.3%,48.4%,1.3%,1.9%,-6.5%,8.4%,"394,763",88.6%,
Virginia,8,D+21,Don Beyer,D,"247,137","76,899",712,76.1%,23.7%,0.2%,52.4%,51.8%,0.6%,"373,446",87.0%,
Virginia,9,R+19,Morgan Griffith,R,"85,831","160,931",214,34.8%,65.2%,0.1%,-30.4%,-41.3%,10.9%,"318,350",77.6%,
Virginia,10,D+1,Jennifer Wexton,D,"206,356","160,841",598,56.1%,43.7%,0.2%,12.4%,9.8%,2.6%,"408,608",90.0%,
Virginia,11,D+15,Gerry Connolly,D,"219,191","83,023","6,051",71.1%,26.9%,2.0%,44.2%,38.9%,5.3%,"361,492",85.3%,
Washington,1,D+6,Suzan DelBene,D,"194,850","133,939",0,59.3%,40.7%,0.0%,18.5%,16.4%,2.1%,"347,060",94.7%,
Washington,2,D+10,Rick Larsen,D,"206,681",0,"82,823",71.4%,0.0%,28.6%,71.4%,22.1%,N/A,"327,533",88.4%,
Washington,3,R+4,Jaime Herrera Beutler,R,"143,987","160,581",0,47.3%,52.7%,0.0%,-5.4%,-7.4%,2.0%,"315,150",96.6%,
Washington,4,R+13,Dan Newhouse,R,"74,643","131,282",0,36.2%,63.8%,0.0%,-27.5%,-22.9%,-4.6%,"242,666",84.9%,
Washington,5,R+8,Cathy McMorris Rodgers,R,"134,569","165,115",0,44.9%,55.1%,0.0%,-10.2%,-13.0%,2.8%,"319,560",93.8%,
Washington,6,D+6,Derek Kilmer,D,"203,930","115,381",0,63.9%,36.1%,0.0%,27.7%,12.4%,15.3%,"333,450",95.8%,
Washington,7,D+33,Pramila Jayapal,D,"327,483","64,543",0,83.5%,16.5%,0.0%,67.1%,69.8%,-2.7%,"415,979",94.2%,
Washington,8,EVEN,Kim Schrier,D,"162,362","147,472",0,52.4%,47.6%,0.0%,4.8%,3.0%,1.8%,"320,558",96.7%,
Washington,9,D+21,Adam Smith,D,"238,761",0,0,100.0%,0.0%,0.0%,100.0%,47.1%,N/A,"291,632",81.9%,
Washington,10,D+5,Denny Heck,D,"163,738","102,373",0,61.5%,38.5%,0.0%,23.1%,11.3%,11.8%,"294,847",90.3%,
West Virginia,1,R+19,David McKinley,R,"70,763","129,095",0,35.4%,64.6%,0.0%,-29.2%,-41.6%,12.4%,"243,894",81.9%,
West Virginia,2,R+17,Alex Mooney,R,"87,804","110,308","6,262",43.0%,54.0%,3.1%,-11.0%,-36.4%,25.4%,"250,267",81.7%,
West Virginia,3,R+23,Carol Miller,R,"75,904","98,203",0,43.6%,56.4%,0.0%,-12.8%,-49.3%,36.5%,"218,890",79.5%,
Wisconsin,1,R+5,Bryan Steil ,R,"137,507","177,490","10,006",42.3%,54.6%,3.1%,-12.3%,-10.3%,-2.0%,"359,815",90.3%,
Wisconsin,2,D+18,Mark Pocan,D,"309,025",0,"6,186",98.0%,0.0%,2.0%,98.0%,36.3%,N/A,"418,192",75.4%,
Wisconsin,3,EVEN,Ron Kind,D,"187,615","126,897",0,59.7%,40.3%,0.0%,19.3%,-4.5%,23.8%,"363,271",86.6%,
Wisconsin,4,D+25,Gwen Moore,D,"208,127","60,240","7,228",75.5%,21.9%,2.6%,53.7%,51.5%,2.2%,"312,481",88.2%,
Wisconsin,5,R+13,Jim Sensenbrenner,R,"136,995","223,989",0,38.0%,62.0%,0.0%,-24.1%,-19.8%,-4.3%,"405,647",89.0%,
Wisconsin,6,R+8,Glenn Grothman,R,"144,530","180,314",0,44.5%,55.5%,0.0%,-11.0%,-16.6%,5.6%,"371,109",87.5%,
Wisconsin,7,R+8,Sean Duffy,R,"123,548","193,126","4,372",38.5%,60.2%,1.4%,-21.7%,-20.3%,-1.4%,"373,201",86.0%,
Wisconsin,8,R+7,Mike Gallagher,R,"119,263","209,400",0,36.3%,63.7%,0.0%,-27.4%,-17.4%,-10.0%,"372,434",88.2%,
Wyoming,AL,R+25,Liz Cheney,R,"59,903","127,963","13,379",29.8%,63.6%,6.6%,-33.8%,-46.3%,12.5%,"255,849",78.7%,x
